name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Prime West Village: Art & Foodie  Heaven,Larissa,Manhattan,West Village,40.73272,-74.00797,Entire home/apt,155,2,7,2019-07-07,2.44,1,6
Executive Living off Fifth Ave and Central Park,Corporate Housing,Manhattan,Midtown,40.76223,-73.97588,Entire home/apt,159,60,0,,,91,353
"Cozy Downtown Unit - 3 bedrooms, 2 full baths",Ankita,Manhattan,Lower East Side,40.71981,-73.9856,Entire home/apt,699,2,0,,,1,290
Instagram Dream Townhouse in Times Sq.,Laura + John,Manhattan,Hell's Kitchen,40.75823,-73.99066,Entire home/apt,300,3,8,2019-06-19,3.33,1,54
Family Friendly East Village Brownstone 2-Floors,Tom,Manhattan,East Village,40.72235,-73.97772,Entire home/apt,165,30,0,,,2,56
Chill East Village Get-Away,Tom,Manhattan,East Village,40.72236,-73.97689,Entire home/apt,140,26,0,,,2,46
Quiet and comfy Room in the heart of Williamsbourg,Imma,Brooklyn,Williamsburg,40.71102,-73.95829,Private room,75,2,6,2019-07-07,2.34,1,0
Spacious bedroom with washer and dryer unit.,Keith,Manhattan,Harlem,40.81482,-73.95192,Private room,51,1,12,2019-05-15,4.34,1,0
Fresh,Victoria,Queens,Fresh Meadows,40.72894,-73.78003,Private room,80,1,2,2019-05-25,1.22,1,0
Astoria Apt,Nate,Queens,Astoria,40.76001,-73.92313,Private room,700,1,1,2019-05-06,0.47,1,125
Chill East Williamsburg Apartment,Maraliz,Brooklyn,Williamsburg,40.71439,-73.9409,Private room,90,2,2,2019-06-10,1.18,2,174
Brooklyn Loft Living in Bedstuy / Clinton Hill,Leslie,Brooklyn,Clinton Hill,40.69235,-73.96102,Private room,64,5,1,2019-05-26,0.68,1,90
"NEWLY-RENOVATED APARTMENT, 35 MINS FROM MANHATTAN",Stacy & Simon,Brooklyn,Cypress Hills,40.68935,-73.87254,Entire home/apt,150,30,0,,,6,17
★COLUMBUS CIRCLE★FULL FLOOR LOFT~5 Beds@BROADWAY,Shosh,Manhattan,Midtown,40.76523,-73.98157,Entire home/apt,549,5,7,2019-06-26,2.66,1,207
Cozy Bushwick Studio - Great Location,Brandon,Brooklyn,Bushwick,40.7077,-73.9225,Entire home/apt,100,4,4,2019-06-24,1.52,1,11
"6 Guests! Close to JFK-Manhattan(30 min ""A"" train)",Gasminee,Queens,Ozone Park,40.68268,-73.84977,Entire home/apt,149,1,0,,,4,113
Beautiful Park Slope Apartment with outdoor space,Phil,Brooklyn,South Slope,40.66052,-73.9811,Private room,50,30,0,,,1,0
2 Bedroom APT in Beautiful Brooklyn Heights,Miguel,Brooklyn,Brooklyn Heights,40.6981,-73.9958,Entire home/apt,550,3,4,2019-07-01,4,1,215
温暖的双人房间,Jiali,Queens,Flushing,40.75966,-73.81469,Private room,65,1,11,2019-06-21,3.79,6,126
Midtown West Hotel - Hudson Twin Single,Erin,Manhattan,Chelsea,40.74922,-73.9968,Private room,99,1,4,2019-07-05,1.50,20,168
Midtown West Hotel - Empire Triple Room,Erin,Manhattan,Chelsea,40.75094,-73.99662,Private room,199,1,1,2019-05-19,0.58,20,160
Wood + brick + Bushwick,Marielisa,Brooklyn,Bushwick,40.70167,-73.91913,Private room,60,3,0,,,2,0
Greenwich/West Village Sunny real one bedroom apt!,Adrienne,Manhattan,West Village,40.73131,-74.00619,Entire home/apt,154,3,3,2019-05-20,1.14,1,19
Charming and Beautiful Home with Outdoor Space,Gabriel,Brooklyn,Bedford-Stuyvesant,40.68529,-73.92843,Entire home/apt,120,10,0,,,1,156
A Pleasant Room,Syeda,Queens,Briarwood,40.70655,-73.80842,Private room,50,1,10,2019-06-09,3.37,9,357
The Stop at Fordham Manor,Jonathan,Bronx,Fordham,40.8667,-73.89115,Private room,70,1,5,2019-05-27,1.76,1,364
My home is open to everyone!,Vicente,Manhattan,Washington Heights,40.84377,-73.93666,Private room,60,1,18,2019-06-29,6.07,1,305
Small room for female guests only,Jean,Queens,Flushing,40.76,-73.82466,Shared room,26,2,5,2019-07-08,1.65,2,90
Contemporary Brooklyn Lifestyle Apt /JFK Airport 3,Joyce,Brooklyn,East New York,40.66195,-73.8936,Private room,65,2,1,2019-05-13,0.52,4,352
Sensational Midtown East Dream Near E/M Trains,Timothy And Natalia,Manhattan,Midtown,40.75452,-73.97092,Entire home/apt,250,5,7,2019-06-14,2.44,1,161
Private room in Mckibbin Lofts. Rooftop access,David,Brooklyn,Williamsburg,40.70621,-73.93663,Private room,70,2,18,2019-06-24,6.67,1,205
Nice basement studio apt on East Williamsburg,Kethy,Brooklyn,Bushwick,40.68523,-73.90665,Entire home/apt,65,10,2,2019-05-14,0.95,1,42
HABITACIÓN COMPARTIDA PARA MUJERES AVENTURERAS!,Jess & Ana,Queens,Corona,40.74116,-73.86705,Shared room,25,2,10,2019-07-03,3.45,8,344
Spacious 2 Bedroom apartment in Astoria,Ikrame,Queens,Astoria,40.7684,-73.92066,Entire home/apt,115,3,1,2019-04-28,0.42,2,188
Luxury 3 Bed FiDi Charm Doorman Elevator | Laundry,James,Manhattan,Financial District,40.70563,-74.00919,Entire home/apt,325,5,7,2019-06-09,2.84,1,131
Guest Bedroom in light-filled Williamsburg Loft,Huston,Brooklyn,Williamsburg,40.71839,-73.94621,Private room,75,1,8,2019-07-01,3.53,1,109
"Hotel-like Private Room, KING Bed 25 min NYC",David,Queens,Maspeth,40.73612,-73.89519,Private room,50,1,19,2019-06-30,8.03,4,165
"Chefs apt w/ art, plants, books & strong coffee",Evan,Brooklyn,Crown Heights,40.67468,-73.96149,Private room,65,2,1,2019-04-17,0.36,1,0
Spacious Studio with easy access to NYC,Viktor,Staten Island,Arden Heights,40.55762,-74.19626,Entire home/apt,70,5,1,2019-07-03,1,1,55
Lady's Powder Room,Basia,Brooklyn,Borough Park,40.63112,-73.99532,Private room,39,1,9,2019-07-04,3.70,1,11
Modern Private Bath and Furnished Room Near Train,Winston,Bronx,Pelham Gardens,40.86674,-73.8428,Private room,75,5,0,,,1,188
Cozy West Village apt,Maja,Manhattan,West Village,40.73684,-74.00844,Entire home/apt,170,4,2,2019-06-16,1.36,1,5
"Large living room, near transit, gym, super clean",Marguerite,Brooklyn,Flatlands,40.6316,-73.94559,Entire home/apt,80,1,2,2019-06-02,1.02,1,132
Beautiful & Tranquil Private Room in Williamsburg,Laksmi,Brooklyn,Williamsburg,40.70734,-73.96417,Private room,71,2,5,2019-07-02,2.88,1,182
Hostal: 1 full size mattress bottom floor bunk bed,Fernando,Queens,Forest Hills,40.71692,-73.83439,Shared room,33,4,0,,,5,334
Private! Studio New Modern Close To JFK LGA NYC :),Alex,Queens,Ozone Park,40.6752,-73.8552,Entire home/apt,100,1,15,2019-07-07,5.84,1,326
quiet inwood space,Sophia,Manhattan,Inwood,40.87079,-73.91961,Private room,70,1,7,2019-06-04,2.59,1,73
Marriott Vacation Club Pulse New York City,Barbara,Manhattan,Midtown,40.75104,-73.9852,Entire home/apt,275,1,0,,,1,0
Cozy Central Park Pad Close To Everything!,Hubert & Val,Manhattan,Upper West Side,40.7762,-73.98028,Entire home/apt,274,4,9,2019-07-02,3.55,1,34
Boerum Hill modern duplex with private backyard!,Dd,Brooklyn,Boerum Hill,40.68581,-73.9833,Entire home/apt,140,4,2,2019-05-15,0.97,1,77
Clean & Cozy apartment in East Village,Raashi,Manhattan,East Village,40.73036,-73.98701,Entire home/apt,130,2,6,2019-07-05,2.81,1,27
Shar's Hideaway  comfortable 1 bedroom suite,Sharon,Queens,Queens Village,40.70657,-73.72932,Private room,49,1,1,2019-04-20,0.37,1,0
"Fully furnished studio, 10 mins away from JFK.",Roy,Queens,Springfield Gardens,40.66377,-73.76785,Entire home/apt,100,2,10,2019-06-25,4.23,1,353
Shared room y Times Square,Erik,Manhattan,Hell's Kitchen,40.76483,-73.98975,Shared room,85,1,12,2019-06-27,4.09,9,349
Lovely Sunny 1br in Bushwick,Ian,Brooklyn,East New York,40.66641,-73.89133,Private room,65,3,2,2019-05-09,0.80,2,364
LUXURY Building in the Heart of Manhattan!,Sue,Manhattan,Midtown,40.7528,-73.97092,Entire home/apt,150,12,4,2019-05-23,1.38,1,118
SPECTACULAR LOFT OVERLOOKING THE MANHATTAN SKYLINE,Heleen,Brooklyn,DUMBO,40.70416,-73.98999,Entire home/apt,250,30,0,,,2,365
SPECTACULAR LOFT OVERLOOKING THE MANHATTAN SKYLINE,Heleen,Brooklyn,DUMBO,40.70238,-73.99181,Entire home/apt,250,30,0,,,2,0
Little Italy/Lower East Side/ 3BR A+ Location!,Princess,Manhattan,Little Italy,40.7203,-73.99663,Entire home/apt,139,31,4,2019-05-19,1.52,1,139
Cozy & Huge 1-Bed Apt in Harlem : Sparkling Clean,Seong,Manhattan,Harlem,40.80717,-73.94386,Entire home/apt,110,2,6,2019-06-28,2.31,1,0
Bright apt in the heart of the lower east side!,Capucine,Manhattan,East Village,40.72241,-73.98554,Entire home/apt,180,5,1,2019-07-03,1,1,32
West 57th Club by Hilton Club Studio Available,Benjamin,Manhattan,Midtown,40.76494,-73.97822,Private room,300,1,1,2019-04-15,0.35,2,364
Spanish Harlem! Next to the 6 train in Manhattan!,Dee,Manhattan,East Harlem,40.79834,-73.94337,Entire home/apt,300,2,1,2019-05-15,0.55,1,180
Modern Astoria Apartment,Marie-Claire,Queens,Astoria,40.75845,-73.9111,Entire home/apt,200,5,4,2019-07-01,2.35,2,95
Home away in a cozy apartment in Times Square.,Maybee,Manhattan,Hell's Kitchen,40.76051,-73.98792,Entire home/apt,220,1,0,,,2,277
E. WILLIAMSBURG ROOM WITH PRIVATE BALCONY,Victor,Brooklyn,Williamsburg,40.70403,-73.9428,Private room,69,2,1,2019-07-01,1,1,36
The Blue Room by LGA/Kennedy Airporst & NYC!,Aramis,Queens,East Elmhurst,40.76111,-73.88408,Private room,45,3,13,2019-07-03,5.42,2,80
PRIME COZY HUGE Bedroom in Heart of NYC (RARE!!),Sommy,Manhattan,Midtown,40.75625,-73.96416,Private room,119,2,6,2019-06-30,2.69,4,297
Amazing 1BR apartment in heart of Astoria,Pavel,Queens,Astoria,40.76829,-73.92625,Entire home/apt,125,1,14,2019-07-01,4.72,1,328
Designer Madison Ave Studio with Brand New Kitchen,Chris,Manhattan,Upper East Side,40.78582,-73.95546,Entire home/apt,145,31,1,2019-05-31,0.77,2,304
Private Bathroom Bedroom Near Subway,Mei,Brooklyn,Bath Beach,40.60471,-74.00243,Private room,59,2,0,,,2,361
"M&C Garden, located in the heart of Astoria Ny",Mark & Christopher,Queens,Astoria,40.76649,-73.92356,Entire home/apt,225,2,3,2019-07-07,1.23,1,23
"""Sea Gate"" Sunny, cozy, very clean studio app",Greg,Brooklyn,Sea Gate,40.57453,-74.00828,Entire home/apt,125,10,1,2019-06-20,1,1,180
Comfortable apartment in the heart of Brooklyn.,Olman,Brooklyn,Crown Heights,40.67533,-73.94889,Entire home/apt,100,2,6,2019-07-07,2.54,2,0
Fabulous 3BR/3BA NoMad Midtown LOFT,Zoie + Chris,Manhattan,Midtown,40.74615,-73.98872,Entire home/apt,800,3,13,2019-06-20,4.59,1,84
"Cute and cozy, great downtown Manhattan location!",Leila,Manhattan,Chinatown,40.71483,-73.99801,Shared room,53,1,7,2019-06-26,2.92,1,58
Packaged for one plus groups (ENSUITE KING ROYAL),Glen,Brooklyn,East Flatbush,40.64695,-73.93121,Private room,100,2,3,2019-06-23,1.14,4,365
Is a beautiful place for recharge good energy....,Maria,Manhattan,Midtown,40.74501,-73.98319,Private room,150,10,0,,,2,89
Sunny Modern Studio Near Columbus Circle,Cynthia,Manhattan,Upper West Side,40.77123,-73.98782,Entire home/apt,140,7,0,,,1,24
MI CASA ES TÚ CASA,Mary,Queens,Flushing,40.76409,-73.82928,Private room,53,1,23,2019-07-07,8.73,2,161
Style in the heart of Williamsburg w/ private bath,Ryan,Brooklyn,Williamsburg,40.71704,-73.95799,Private room,89,1,1,2019-06-30,1,1,44
"subway  1 min away,  manhattan 10 min.",Jesus,Queens,Astoria,40.75839,-73.91191,Private room,90,1,9,2019-06-30,3.14,2,341
Sunny Private Room close to Manhattan(Green),Jianren,Brooklyn,Bushwick,40.69682,-73.93067,Private room,66,2,8,2019-07-05,3.08,1,159
3 Bedroom Spacious Apartment,Hamza,Bronx,Port Morris,40.80143,-73.91353,Entire home/apt,115,2,11,2019-06-24,4.46,3,6
Cozy Studio in the heart of NYC,Taina,Manhattan,Kips Bay,40.74469,-73.98037,Entire home/apt,120,2,5,2019-07-07,2.05,1,10
Uptown 1-bdr apartment. 2 stops to Times Sq!,Vaz,Manhattan,Morningside Heights,40.81342,-73.9565,Entire home/apt,165,1,15,2019-06-16,5.11,1,27
"Rad Midtown West 2BR w/ roomy sundeck, gym, near Times Sq by Blueground",Blueground,Manhattan,Theater District,40.76061,-73.98589,Entire home/apt,353,30,0,,,232,337
Sun-Filled 3 Bedroom Apartment in Bronx,Hamza,Bronx,Port Morris,40.80273,-73.91519,Entire home/apt,115,4,9,2019-07-02,3.97,3,124
Zen Room in Artist’s Apartment,Leela,Queens,Astoria,40.76429,-73.90967,Private room,120,2,6,2019-06-23,4.62,1,16
Beautiful Veteran owned townhome,Demacoy,Queens,Arverne,40.59908,-73.79133,Entire home/apt,137,1,4,2019-06-02,2.18,1,273
Sunny Long Island City Studio,Becca,Queens,Long Island City,40.74613,-73.94141,Entire home/apt,150,2,5,2019-07-06,3.33,1,103
Beautiful private Brooklyn room with kitchenette,Jeffrey,Brooklyn,Bedford-Stuyvesant,40.68807,-73.95426,Private room,4200,114,0,,,1,347
"Big Studio, 2 Queen beds with separate entrance",Wendy,Brooklyn,Williamsburg,40.71554,-73.96225,Entire home/apt,129,2,0,,,1,25
SUNNY SUMMER SUBLET,Kumru,Brooklyn,Crown Heights,40.66623,-73.92874,Entire home/apt,100,50,0,,,2,225
Island Dream,Nikki,Manhattan,Upper East Side,40.7613,-73.96152,Entire home/apt,220,1,0,,,1,32
Charming RM w/ own bath. Easy Midtown & LGA access,Kazuya,Queens,Woodside,40.74496,-73.90779,Private room,59,30,0,,,103,252
starlight of washington heights,Kenneth,Manhattan,Washington Heights,40.84008,-73.93684,Private room,100,5,0,,,1,365
LUX high-rise apt in timesSQ with Huds river view,Al,Manhattan,Hell's Kitchen,40.76124,-74.00059,Entire home/apt,199,15,1,2019-04-23,0.38,1,179
COZY ROOM IN PRIME MID EAST CLOSE TO EVERYTHING!!!,Sommy,Manhattan,Midtown,40.75661,-73.96396,Private room,100,2,4,2019-05-22,1.82,4,314
"Entire  Apartment in Flushing , Queens.",Carlyn,Queens,Flushing,40.75908,-73.80845,Entire home/apt,115,3,2,2019-06-30,2,1,360
Spectacular 2bedroom near Subway-Cafes-Shop & MORE,Jalen,Manhattan,Upper West Side,40.7867,-73.97594,Entire home/apt,349,5,5,2019-07-04,1.95,1,220
Private 2A Room in 4BR/2BA APT in Hell's Kitchen,David,Manhattan,Hell's Kitchen,40.76037,-73.99171,Private room,110,1,10,2019-06-16,3.53,12,270
Brooklyn Couples Retreat w/ spa bathroom,Michele,Brooklyn,Bedford-Stuyvesant,40.68129,-73.93437,Private room,75,5,4,2019-05-30,2.03,1,313
The best building in Bed-Stuy,Pharohl,Brooklyn,Bedford-Stuyvesant,40.69266,-73.94431,Entire home/apt,60,1,7,2019-07-01,7,1,17
Lower East Side Classic Vibes,May,Manhattan,Lower East Side,40.72059,-73.98514,Entire home/apt,170,3,6,2019-07-01,2.57,1,235
LARGE ROOM - FIT 2-3 GUESTS - SAFE & RENOVATED,Meezy,Bronx,Williamsbridge,40.87724,-73.85047,Private room,56,2,4,2019-06-20,3.24,3,70
All the restaurants and bars you can ask for,Amaree,Bronx,Throgs Neck,40.82807,-73.82418,Entire home/apt,80,1,0,,,1,1
"Bushwick apartment, thoughtful details",Christine,Brooklyn,Bushwick,40.69767,-73.93096,Private room,99,2,0,,,1,1
Cozy farmhouse in NYC. 2 bdrms; 2 full baths. WiFi,Janice,Staten Island,Prince's Bay,40.52293,-74.21238,Entire home/apt,85,2,8,2019-06-24,3.33,1,66
Studio sized room in Midtown-East Manhattan,Elizabeth,Manhattan,Kips Bay,40.74263,-73.97639,Private room,100,6,3,2019-05-31,1.30,1,0
Welcome homey ! Your new artist friend :),Ume,Manhattan,Lower East Side,40.72152,-73.98625,Shared room,117,1,5,2019-06-24,2.03,1,139
Williamsburg 30 days min. 2bath/en suite 2bedroom,Ann,Brooklyn,Williamsburg,40.71092,-73.96717,Entire home/apt,249,30,0,,,5,222
FURNISHED NEW STUDIO EAST VILLAGE/SOHO/BOWERY,Vijay,Manhattan,Lower East Side,40.7215,-73.99171,Entire home/apt,120,2,10,2019-06-29,5.88,1,87
Bright & Cheerful w/ Laundry & Free Cleaning!,Ashley At Bedly,Brooklyn,Bedford-Stuyvesant,40.69054,-73.92793,Private room,36,30,0,,,6,58
"Access to public transportation
Near shopping area",Abie,Brooklyn,Midwood,40.61326,-73.94742,Private room,100,1,8,2019-07-05,3.00,1,179
Gotham City oasis 10 min to the city,Helena,Brooklyn,Fort Greene,40.68557,-73.97288,Shared room,31,1,2,2019-06-09,1.62,5,73
Modern and Cozy Queen Bedroom (Shared),David,Manhattan,Upper East Side,40.77203,-73.95344,Shared room,75,30,0,,,3,365
Amazing Queen Bedrose UES (Shared),David,Manhattan,Upper East Side,40.77181,-73.953,Shared room,78,30,1,2019-05-22,0.63,3,365
Azur Queen Bedroom UES (Shared),David,Manhattan,Upper East Side,40.77019,-73.95449,Shared room,75,30,0,,,3,331
Shared Room and Exp Heart of Manhattan,Erik,Manhattan,Hell's Kitchen,40.76661,-73.99082,Shared room,85,1,12,2019-06-28,4.44,9,161
Furnished modern studio luxury elevator building,Leanne,Manhattan,Financial District,40.71138,-74.00834,Entire home/apt,160,4,3,2019-07-08,1.38,1,0
3 bedroom Apartment a few blocks from Union Square,Sam,Manhattan,East Village,40.72919,-73.98151,Entire home/apt,290,2,10,2019-06-26,4.29,1,254
*Private room with new bedroom set and mattress,Lana,Queens,Kew Gardens,40.70927,-73.82948,Private room,50,2,5,2019-06-02,1.88,5,319
Brooklyn share next to train 25 min to Manhattan,Anchor,Brooklyn,Bedford-Stuyvesant,40.6783,-73.91055,Shared room,35,1,3,2019-06-07,1.11,17,77
LOVELY 1 BED ROOM 10 MIN FR JFK WITH PRIVATE PORCH,Ode,Queens,St. Albans,40.68687,-73.76809,Private room,67,1,12,2019-07-06,4.74,3,365
✭Spacious home in 2 unit house next to subway!✭,Jun,Brooklyn,Williamsburg,40.70961,-73.95598,Entire home/apt,265,1,9,2019-07-05,3.80,1,86
"Gorgeous, light & bright apt in Bed Stuy + yard",Ashley,Brooklyn,Bedford-Stuyvesant,40.68444,-73.95434,Entire home/apt,180,3,1,2019-06-04,0.83,1,98
"Spacious, Light-Filled One-Bedroom in Williamsburg",John,Brooklyn,Williamsburg,40.70783,-73.94346,Entire home/apt,180,2,1,2019-04-22,0.38,1,10
Great bars nearby & Quick 3min walk to Metro,Bedly Brooklyn,Brooklyn,Bedford-Stuyvesant,40.69117,-73.92805,Private room,36,11,0,,,1,48
The Sweet Spot 2- Private Apt with a court yard,Joe,Manhattan,Harlem,40.8273,-73.94952,Private room,55,2,4,2019-06-02,1.94,2,76
Trendy NYC Private Bedroom in Upper West Side,Eyal,Manhattan,Upper West Side,40.79961,-73.95961,Private room,60,30,0,,,32,362
Upper East Two Bed w/ 3 Beds | Sleeps 6 | Near Q,Jackson,Manhattan,Upper East Side,40.76996,-73.95771,Entire home/apt,250,5,7,2019-06-08,2.76,1,155
Stunning Private Bedroom in Prime NYC/by Columbia!,Eyal,Manhattan,Upper West Side,40.7999,-73.95962,Private room,60,30,1,2019-06-27,1,32,314
Ideal for Student: Upper West Side Private Bedroom,Eyal,Manhattan,Upper West Side,40.79848,-73.95983,Private room,60,30,0,,,32,328
RARE | Romantic Studio ♥ West Village Landmark,Jessie,Manhattan,West Village,40.7334,-74.00075,Entire home/apt,250,1,0,,,1,76
"Cozy room in Brooklyn Safe Area. 30m to D,N/Town",Nikolett,Brooklyn,Borough Park,40.63402,-74.0025,Private room,65,1,9,2019-06-29,3.38,2,46
New Private Bedroom in Prime NYC / Upper West Side,Eyal,Manhattan,Upper West Side,40.79834,-73.96117,Private room,60,30,1,2019-06-01,0.79,32,335
Vibrant Private Bedroom in Central Upper West Side,Eyal,Manhattan,Upper West Side,40.80004,-73.96066,Private room,60,30,0,,,32,334
Luxury 2 Bed 2 Full Bath Walk to Times Square,Stanley,Manhattan,Theater District,40.75746,-73.98795,Entire home/apt,420,5,14,2019-06-30,5.06,1,137
**Private Room in Newly Renovated Apartment,Lana,Queens,Kew Gardens,40.70657,-73.82903,Private room,60,2,7,2019-06-29,2.63,5,305
Spacious Private space in Park Slope,Tom & Reina,Brooklyn,Windsor Terrace,40.6602,-73.98052,Entire home/apt,155,1,7,2019-05-19,2.47,1,71
Artsy Private Bedroom in UWS - Near Columbia U!,Eyal,Manhattan,Upper West Side,40.79972,-73.96107,Private room,60,30,0,,,32,342
Newly Renovated Private Bedroom Near Columbia U!,Eyal,Manhattan,Upper West Side,40.79812,-73.96082,Private room,60,30,0,,,32,341
Quaint East Village Apartment,Amber,Manhattan,East Village,40.72554,-73.98875,Private room,100,3,4,2019-05-26,2.00,3,0
Dreamy Private Bedroom in Prime NYC Location (UWS),Eyal,Manhattan,Upper West Side,40.80037,-73.9594,Private room,60,30,0,,,32,311
"Stylish Private Room in Upper West Side, Manhattan",Eyal,Manhattan,Upper West Side,40.79863,-73.96103,Private room,60,30,0,,,32,348
Upper West Side/Central Park Sleek Private Bedroom,Eyal,Manhattan,Upper West Side,40.80035,-73.96106,Private room,60,30,0,,,32,250
Sunny Private Bedroom in Upper West Side,Eyal,Manhattan,Upper West Side,40.79995,-73.96139,Private room,60,30,0,,,32,83
Sonder | Stock Exchange | Vibrant 2BR + Sofa Bed,Sonder (NYC),Manhattan,Financial District,40.70713,-74.01205,Entire home/apt,255,2,4,2019-06-20,1.62,327,215
Sonder | Stock Exchange | Collected 1BR + Laundry,Sonder (NYC),Manhattan,Financial District,40.70621,-74.01199,Entire home/apt,229,2,5,2019-06-15,1.92,327,350
Sonder | Stock Exchange | Stunning 1BR + Sofa Bed,Sonder (NYC),Manhattan,Financial District,40.70761,-74.01078,Entire home/apt,235,2,3,2019-05-19,1.11,327,340
Charming and Bright Apt. in Heart of Williamsburg,Riya,Brooklyn,Williamsburg,40.71339,-73.96112,Entire home/apt,175,2,3,2019-06-17,1.14,1,4
Modern Private Bedroom in Upper West Side,Eyal,Manhattan,Upper West Side,40.80006,-73.96095,Private room,60,30,0,,,32,37
"Private Bedroom in Prime Location, Upper West Side",Eyal,Manhattan,Upper West Side,40.80036,-73.96075,Private room,60,30,0,,,32,51
211 east 34 st Room 1,Mohammed,Brooklyn,East Flatbush,40.65239,-73.94454,Private room,40,7,1,2019-06-03,0.81,9,346
Studio in an Upscale Beautiful Neighborhood,Yasmine,Queens,Forest Hills,40.7201,-73.83723,Shared room,60,2,2,2019-06-05,1.11,1,0
"Beautiful, Cozy & Private Bedroom in Bushwick BKLN",Paola,Brooklyn,Bushwick,40.7011,-73.92194,Private room,50,1,26,2019-07-05,9.40,2,74
Huge Room In Lovely Apartment. 30 Min To Manhattan,Andrey,Brooklyn,Bedford-Stuyvesant,40.67994,-73.9135,Private room,60,1,14,2019-07-02,5.25,3,20
Sonder | Stock Exchange | Smart 2BR + Sofa Bed,Sonder (NYC),Manhattan,Financial District,40.70779,-74.01249,Entire home/apt,390,2,8,2019-06-24,3.04,327,243
Convenient & Cozy Upper West Side 2 Beds Apartment,Ceive,Manhattan,Upper West Side,40.80238,-73.96737,Entire home/apt,140,1,8,2019-06-16,4.36,1,0
Sonder | Stock Exchange | Timeless 3BR + Sofa Bed,Sonder (NYC),Manhattan,Financial District,40.70709,-74.01037,Entire home/apt,475,2,7,2019-06-18,3.23,327,253
Cozy Home Nested Between Soho and The West Village,Beatrix,Manhattan,SoHo,40.72825,-74.0033,Private room,150,5,1,2019-04-30,0.43,1,97
Sonder | Stock Exchange | Vintage 1BR + Sofa Bed,Sonder (NYC),Manhattan,Financial District,40.70701,-74.01117,Entire home/apt,228,2,1,2019-05-26,0.68,327,357
Cutely designed room in Williamsburg apartment,Michael H.Y.,Brooklyn,Williamsburg,40.71216,-73.94246,Private room,70,3,12,2019-07-07,6.67,3,142
Rustic Room East Williamsburg 15 Min to Manhattan,Holden,Brooklyn,Bushwick,40.70697,-73.92401,Private room,54,5,9,2019-07-01,3.75,3,0
Luxury Corner Apt&bigTerrace. Water&city view 55Fl,Julie,Manhattan,Hell's Kitchen,40.75966,-73.99277,Entire home/apt,350,1,0,,,2,83
"""The Grand Budapest"" room in Brooklyn!",Andrey,Brooklyn,Bedford-Stuyvesant,40.67965,-73.91168,Private room,55,1,15,2019-07-07,5.92,3,15
Private Room in PRIME Manhattan Location,Amy,Manhattan,Upper East Side,40.76853,-73.96407,Private room,79,1,8,2019-07-01,4.53,1,31
Modern west village one bedroom,Albert,Manhattan,West Village,40.73393,-74.00552,Entire home/apt,250,5,0,,,1,365
"Cozy, Friendly Apt Share For Young Professionals",Ollie,Brooklyn,Crown Heights,40.66945,-73.95717,Private room,64,30,1,2019-06-29,1,7,94
"Cozy, Friendly Apt Share for Young Professionals",Ollie,Brooklyn,Crown Heights,40.66999,-73.95959,Private room,65,30,1,2019-05-04,0.45,7,237
Packaged for one and groups (QUEEN B),Glen,Brooklyn,East Flatbush,40.64683,-73.93003,Private room,90,2,6,2019-06-02,2.25,4,360
BIG BEDROOM CLOSE TO LA GUARDIA AIRPORT FREE WIFI,Stephanie,Queens,East Elmhurst,40.76402,-73.89098,Private room,44,1,0,,,2,0
Beautiful Park Slope summer 1-bedroom sublet,Michelle,Brooklyn,Park Slope,40.67093,-73.97555,Entire home/apt,101,60,0,,,2,32
"3min to Grand Ave subway, newly built in 2015",Hiroki,Queens,Elmhurst,40.7387,-73.8771,Private room,33,30,0,,,37,31
Private & Quiet Oasis in the Center of NYC,Sergey,Manhattan,Chelsea,40.74034,-74.00084,Entire home/apt,162,2,6,2019-06-23,2.20,1,66
Amazing private room 5 min time square,Ryan,Manhattan,Hell's Kitchen,40.76921,-73.99239,Private room,105,1,1,2019-04-18,0.37,2,0
Rooftop Terrace Penthouse 2 Bed Near Central Park,Jacob And Michelle,Manhattan,Hell's Kitchen,40.76347,-73.98776,Entire home/apt,420,5,10,2019-06-29,4.48,1,130
BrooklynRoom,Andrea,Brooklyn,Boerum Hill,40.68325,-73.98126,Private room,46,1,0,,,1,0
Laundry + Free Cleaning - 5min to Metro,Ashley At Bedly,Brooklyn,Bedford-Stuyvesant,40.69077,-73.92667,Private room,36,30,0,,,6,38
Spacious Room in great location,Moises,Manhattan,Inwood,40.86202,-73.92771,Private room,45,2,2,2019-06-19,2,1,180
Large East Village Private Room & Private bathroom,Moji,Manhattan,East Village,40.72485,-73.98422,Private room,119,2,3,2019-05-24,1.32,1,2
Spanish Harlem magical place full of life .,David,Manhattan,East Harlem,40.7958,-73.93766,Private room,90,2,8,2019-07-02,3.08,2,174
Sunny-Junior-one bedroom-Prospect/Lefferts garden,Chaya,Brooklyn,Prospect-Lefferts Gardens,40.6605,-73.94767,Entire home/apt,120,2,9,2019-07-01,3.38,1,10
2 bedroom on the Brighton Beach by  the ocean,Anastasia,Brooklyn,Brighton Beach,40.57859,-73.95962,Entire home/apt,160,2,1,2019-04-29,0.42,1,102
Comfy basement suite,Quisquella,Bronx,Woodlawn,40.90406,-73.86286,Entire home/apt,65,1,1,2019-07-04,1,1,29
